street,direction,date,period,tt,,,
Adelaide,EB,11-Oct-17,AMPK,17.4,,,
Adelaide,EB,12-Oct-17,AMPK,14.5,,,
Adelaide,EB,13-Oct-17,AMPK,15.4,,,
Adelaide,EB,30-Oct-17,AMPK,17.5,,,
Adelaide,EB,31-Oct-17,AMPK,22.3,,,
Adelaide,EB,01-Nov-17,AMPK,17.1,,,
Adelaide,EB,02-Nov-17,AMPK,14.4,,,
Adelaide,EB,03-Nov-17,AMPK,15.4,,,
Adelaide,EB,06-Nov-17,AMPK,15.8,,,
Adelaide,EB,07-Nov-17,AMPK,19.3,,,
Adelaide,EB,08-Nov-17,AMPK,12.7,,,
Adelaide,EB,09-Nov-17,AMPK,17.9,,,
Adelaide,EB,10-Nov-17,AMPK,20.0,,,
Adelaide,EB,13-Nov-17,AMPK,19.6,,,
Adelaide,EB,14-Nov-17,AMPK,20.8,,,
Adelaide,EB,15-Nov-17,AMPK,19.7,,,
Adelaide,EB,16-Nov-17,AMPK,19.8,,,
Adelaide,EB,17-Nov-17,AMPK,23.0,,,
Adelaide,EB,20-Nov-17,AMPK,20.9,,,
Adelaide,EB,21-Nov-17,AMPK,16.8,,,
Adelaide,EB,22-Nov-17,AMPK,21.4,,,
Adelaide,EB,23-Nov-17,AMPK,21.6,,,
Adelaide,EB,24-Nov-17,AMPK,21.2,,,
Adelaide,EB,27-Nov-17,AMPK,15.8,,,
Adelaide,EB,28-Nov-17,AMPK,22.8,,,
Adelaide,EB,29-Nov-17,AMPK,22.8,,,
Adelaide,EB,30-Nov-17,AMPK,17.7,,,
Adelaide,EB,01-Dec-17,AMPK,18.6,,,
Front,WB,02-Oct-17,AMPK,16.8,,,
Front,WB,03-Oct-17,AMPK,15.2,,,
Front,WB,04-Oct-17,AMPK,11.5,,,
Front,WB,05-Oct-17,AMPK,16.7,,,
Front,WB,06-Oct-17,AMPK,15.0,,,
Front,WB,10-Oct-17,AMPK,14.7,,,
Front,WB,11-Oct-17,AMPK,12.3,,,
Front,WB,12-Oct-17,AMPK,12.6,,,
Front,WB,13-Oct-17,AMPK,16.5,,,
Front,WB,30-Oct-17,AMPK,13.6,,,
Front,WB,31-Oct-17,AMPK,12.1,,,
Front,WB,01-Nov-17,AMPK,16.9,,,
Front,WB,02-Nov-17,AMPK,12.8,,,
Front,WB,03-Nov-17,AMPK,13.5,,,
Front,WB,06-Nov-17,AMPK,11.6,,,
Front,WB,07-Nov-17,AMPK,12.4,,,
Front,WB,08-Nov-17,AMPK,16.6,,,
Front,WB,09-Nov-17,AMPK,12.7,,,
Front,WB,10-Nov-17,AMPK,13.0,,,
Front,WB,13-Nov-17,AMPK,18.2,,,
Front,WB,14-Nov-17,AMPK,15.4,,,
Front,WB,15-Nov-17,AMPK,19.8,,,
Front,WB,16-Nov-17,AMPK,13.7,,,
Front,WB,17-Nov-17,AMPK,16.7,,,
Front,WB,20-Nov-17,AMPK,13.5,,,
Front,WB,21-Nov-17,AMPK,17.1,,,
Front,WB,22-Nov-17,AMPK,19.1,,,
Front,WB,23-Nov-17,AMPK,16.0,,,
Front,WB,24-Nov-17,AMPK,17.6,,,
Front,WB,27-Nov-17,AMPK,17.5,,,
Front,WB,28-Nov-17,AMPK,17.6,,,
Front,WB,29-Nov-17,AMPK,14.1,,,
Front,WB,30-Nov-17,AMPK,12.2,,,
Front,WB,01-Dec-17,AMPK,11.3,,,
Front,EB,02-Oct-17,AMPK,17.3,,,
Front,EB,03-Oct-17,AMPK,15.5,,,
Front,EB,04-Oct-17,AMPK,20.6,,,
Front,EB,05-Oct-17,AMPK,22.2,,,
Front,EB,06-Oct-17,AMPK,18.8,,,
Front,EB,10-Oct-17,AMPK,12.4,,,
Front,EB,11-Oct-17,AMPK,14.7,,,
Front,EB,12-Oct-17,AMPK,16.0,,,
Front,EB,13-Oct-17,AMPK,20.8,,,
Front,EB,30-Oct-17,AMPK,20.8,,,
Front,EB,31-Oct-17,AMPK,19.0,,,
Front,EB,01-Nov-17,AMPK,17.8,,,
Front,EB,02-Nov-17,AMPK,18.7,,,
Front,EB,03-Nov-17,AMPK,15.3,,,
Front,EB,06-Nov-17,AMPK,21.3,,,
Front,EB,07-Nov-17,AMPK,18.1,,,
Front,EB,08-Nov-17,AMPK,19.0,,,
Front,EB,09-Nov-17,AMPK,16.5,,,
Front,EB,10-Nov-17,AMPK,20.3,,,
Front,EB,13-Nov-17,AMPK,20.6,,,
Front,EB,14-Nov-17,AMPK,17.7,,,
Front,EB,15-Nov-17,AMPK,24.4,,,
Front,EB,16-Nov-17,AMPK,19.4,,,
Front,EB,17-Nov-17,AMPK,19.2,,,
Front,EB,20-Nov-17,AMPK,26.9,,,
Front,EB,21-Nov-17,AMPK,19.6,,,
Front,EB,22-Nov-17,AMPK,25.0,,,
Front,EB,23-Nov-17,AMPK,23.1,,,
Front,EB,24-Nov-17,AMPK,24.5,,,
Front,EB,27-Nov-17,AMPK,18.5,,,
Front,EB,28-Nov-17,AMPK,22.9,,,
Front,EB,29-Nov-17,AMPK,15.4,,,
Front,EB,30-Nov-17,AMPK,22.8,,,
Front,EB,01-Dec-17,AMPK,20.1,,,
Dundas,EB,02-Oct-17,AMSH,12.5,,,
Dundas,EB,03-Oct-17,AMSH,11.4,,,
Dundas,EB,04-Oct-17,AMSH,9.2,,,
Dundas,EB,05-Oct-17,AMSH,11.9,,,
Dundas,EB,06-Oct-17,AMSH,9.2,,,
Dundas,EB,10-Oct-17,AMSH,12.1,,,
Dundas,EB,11-Oct-17,AMSH,10.8,,,
Dundas,EB,12-Oct-17,AMSH,10.8,,,
Dundas,EB,13-Oct-17,AMSH,13.3,,,
Dundas,EB,30-Oct-17,AMSH,13.9,,,
Dundas,EB,31-Oct-17,AMSH,13.5,,,
Dundas,EB,01-Nov-17,AMSH,10.4,,,
Dundas,EB,02-Nov-17,AMSH,8.4,,,
Dundas,EB,03-Nov-17,AMSH,8.3,,,
Dundas,EB,06-Nov-17,AMSH,8.2,,,
Dundas,EB,07-Nov-17,AMSH,8.6,,,
Dundas,EB,08-Nov-17,AMSH,12.8,,,
Dundas,EB,09-Nov-17,AMSH,9.9,,,
Dundas,EB,10-Nov-17,AMSH,9.7,,,
Dundas,EB,13-Nov-17,AMSH,10.2,,,
Dundas,EB,14-Nov-17,AMSH,11.2,,,
Dundas,EB,15-Nov-17,AMSH,14.1,,,
Dundas,EB,16-Nov-17,AMSH,12.3,,,
Dundas,EB,17-Nov-17,AMSH,15.0,,,
Dundas,EB,20-Nov-17,AMSH,10.0,,,
Dundas,EB,21-Nov-17,AMSH,10.2,,,
Dundas,EB,22-Nov-17,AMSH,15.6,,,
Dundas,EB,23-Nov-17,AMSH,10.5,,,
Dundas,EB,24-Nov-17,AMSH,15.6,,,
Dundas,EB,27-Nov-17,AMSH,15.6,,,
Dundas,EB,28-Nov-17,AMSH,13.7,,,
Dundas,EB,29-Nov-17,AMSH,11.0,,,
Dundas,EB,30-Nov-17,AMSH,13.1,,,
Dundas,EB,01-Dec-17,AMSH,13.0,,,
Dundas,WB,02-Oct-17,AMSH,8.0,,,
Dundas,WB,03-Oct-17,AMSH,13.3,,,
Dundas,WB,04-Oct-17,AMSH,8.4,,,
Dundas,WB,05-Oct-17,AMSH,13.3,,,
Dundas,WB,06-Oct-17,AMSH,9.6,,,
Dundas,WB,10-Oct-17,AMSH,10.6,,,
Dundas,WB,11-Oct-17,AMSH,9.7,,,
Dundas,WB,12-Oct-17,AMSH,8.3,,,
Dundas,WB,13-Oct-17,AMSH,10.1,,,
Dundas,WB,30-Oct-17,AMSH,10.9,,,
Dundas,WB,31-Oct-17,AMSH,9.9,,,
Dundas,WB,01-Nov-17,AMSH,11.7,,,
Dundas,WB,02-Nov-17,AMSH,9.8,,,
Dundas,WB,03-Nov-17,AMSH,11.2,,,
Dundas,WB,06-Nov-17,AMSH,9.3,,,
Dundas,WB,07-Nov-17,AMSH,13.3,,,
Dundas,WB,08-Nov-17,AMSH,12.2,,,
Dundas,WB,09-Nov-17,AMSH,9.7,,,
Dundas,WB,10-Nov-17,AMSH,13.1,,,
Dundas,WB,13-Nov-17,AMSH,14.1,,,
Dundas,WB,14-Nov-17,AMSH,10.4,,,
Dundas,WB,15-Nov-17,AMSH,16.3,,,
Dundas,WB,16-Nov-17,AMSH,11.7,,,
Dundas,WB,17-Nov-17,AMSH,11.2,,,
Dundas,WB,20-Nov-17,AMSH,15.0,,,
Dundas,WB,21-Nov-17,AMSH,16.0,,,
Dundas,WB,22-Nov-17,AMSH,10.4,,,
Dundas,WB,23-Nov-17,AMSH,13.6,,,
Dundas,WB,24-Nov-17,AMSH,17.0,,,
Dundas,WB,27-Nov-17,AMSH,12.4,,,
Dundas,WB,28-Nov-17,AMSH,16.4,,,
Dundas,WB,29-Nov-17,AMSH,16.9,,,
Dundas,WB,30-Nov-17,AMSH,15.4,,,
Dundas,WB,01-Dec-17,AMSH,11.1,,,
Queen,EB,02-Oct-17,AMSH,10.0,,,
Queen,EB,03-Oct-17,AMSH,9.0,,,
Queen,EB,04-Oct-17,AMSH,11.1,,,
Queen,EB,05-Oct-17,AMSH,11.2,,,
Queen,EB,06-Oct-17,AMSH,8.0,,,
Queen,EB,10-Oct-17,AMSH,9.0,,,
Queen,EB,11-Oct-17,AMSH,12.7,,,
Queen,EB,12-Oct-17,AMSH,13.8,,,
Queen,EB,13-Oct-17,AMSH,11.3,,,
Queen,EB,30-Oct-17,AMSH,8.5,,,
Queen,EB,31-Oct-17,AMSH,8.6,,,
Queen,EB,01-Nov-17,AMSH,12.5,,,
Queen,EB,02-Nov-17,AMSH,12.6,,,
Queen,EB,03-Nov-17,AMSH,13.5,,,
Queen,EB,06-Nov-17,AMSH,12.7,,,
Queen,EB,07-Nov-17,AMSH,12.0,,,
Queen,EB,08-Nov-17,AMSH,12.3,,,
Queen,EB,09-Nov-17,AMSH,10.9,,,
Queen,EB,10-Nov-17,AMSH,13.7,,,
Queen,EB,13-Nov-17,AMSH,11.2,,,
Queen,EB,14-Nov-17,AMSH,12.5,,,
Queen,EB,15-Nov-17,AMSH,16.9,,,
Queen,EB,16-Nov-17,AMSH,10.4,,,
Queen,EB,17-Nov-17,AMSH,12.1,,,
Queen,EB,20-Nov-17,AMSH,14.3,,,
Queen,EB,21-Nov-17,AMSH,10.3,,,
Queen,EB,22-Nov-17,AMSH,16.6,,,
Queen,EB,23-Nov-17,AMSH,15.8,,,
Queen,EB,24-Nov-17,AMSH,13.5,,,
Queen,EB,27-Nov-17,AMSH,14.8,,,
Queen,EB,28-Nov-17,AMSH,10.7,,,
Queen,EB,29-Nov-17,AMSH,13.9,,,
Queen,EB,30-Nov-17,AMSH,12.8,,,
Queen,EB,01-Dec-17,AMSH,14.7,,,
Queen,WB,02-Oct-17,AMSH,9.6,,,
Queen,WB,03-Oct-17,AMSH,11.0,,,
Queen,WB,04-Oct-17,AMSH,8.2,,,
Queen,WB,05-Oct-17,AMSH,8.3,,,
Queen,WB,06-Oct-17,AMSH,11.1,,,
Queen,WB,10-Oct-17,AMSH,9.3,,,
Queen,WB,11-Oct-17,AMSH,9.9,,,
Queen,WB,12-Oct-17,AMSH,11.2,,,
Queen,WB,13-Oct-17,AMSH,9.5,,,
Queen,WB,30-Oct-17,AMSH,10.7,,,
Queen,WB,31-Oct-17,AMSH,10.6,,,
Queen,WB,01-Nov-17,AMSH,10.7,,,
Queen,WB,02-Nov-17,AMSH,10.5,,,
Queen,WB,03-Nov-17,AMSH,12.9,,,
Queen,WB,06-Nov-17,AMSH,13.7,,,
Queen,WB,07-Nov-17,AMSH,13.7,,,
Queen,WB,08-Nov-17,AMSH,12.1,,,
Queen,WB,09-Nov-17,AMSH,9.4,,,
Queen,WB,10-Nov-17,AMSH,12.8,,,
Queen,WB,13-Nov-17,AMSH,10.8,,,
Queen,WB,14-Nov-17,AMSH,10.3,,,
Queen,WB,15-Nov-17,AMSH,14.2,,,
Queen,WB,16-Nov-17,AMSH,11.4,,,
Queen,WB,17-Nov-17,AMSH,10.8,,,
Queen,WB,20-Nov-17,AMSH,10.6,,,
Queen,WB,21-Nov-17,AMSH,14.3,,,
Queen,WB,22-Nov-17,AMSH,15.1,,,
Queen,WB,23-Nov-17,AMSH,16.8,,,
Queen,WB,24-Nov-17,AMSH,14.0,,,
Queen,WB,27-Nov-17,AMSH,13.3,,,
Queen,WB,28-Nov-17,AMSH,16.5,,,
Queen,WB,29-Nov-17,AMSH,14.7,,,
Queen,WB,30-Nov-17,AMSH,14.5,,,
Queen,WB,01-Dec-17,AMSH,12.3,,,
Richmond,WB,02-Oct-17,AMSH,11.7,,,
Richmond,WB,03-Oct-17,AMSH,12.6,,,
Richmond,WB,04-Oct-17,AMSH,12.9,,,
Richmond,WB,05-Oct-17,AMSH,9.2,,,
Richmond,WB,06-Oct-17,AMSH,8.5,,,
Richmond,WB,10-Oct-17,AMSH,12.6,,,
Richmond,WB,11-Oct-17,AMSH,13.8,,,
Richmond,WB,12-Oct-17,AMSH,9.3,,,
Richmond,WB,13-Oct-17,AMSH,12.1,,,
Richmond,WB,30-Oct-17,AMSH,8.2,,,
Richmond,WB,31-Oct-17,AMSH,12.8,,,
Richmond,WB,01-Nov-17,AMSH,12.4,,,
Richmond,WB,02-Nov-17,AMSH,12.2,,,
Richmond,WB,03-Nov-17,AMSH,13.2,,,
Richmond,WB,06-Nov-17,AMSH,12.8,,,
Richmond,WB,07-Nov-17,AMSH,10.8,,,
Richmond,WB,08-Nov-17,AMSH,11.3,,,
Richmond,WB,09-Nov-17,AMSH,12.0,,,
Richmond,WB,10-Nov-17,AMSH,11.4,,,
Richmond,WB,13-Nov-17,AMSH,11.3,,,
Richmond,WB,14-Nov-17,AMSH,14.8,,,
Richmond,WB,15-Nov-17,AMSH,16.5,,,
Richmond,WB,16-Nov-17,AMSH,14.2,,,
Richmond,WB,17-Nov-17,AMSH,16.8,,,
Richmond,WB,20-Nov-17,AMSH,16.6,,,
Richmond,WB,21-Nov-17,AMSH,10.2,,,
Richmond,WB,22-Nov-17,AMSH,10.4,,,
Richmond,WB,23-Nov-17,AMSH,12.6,,,
Richmond,WB,24-Nov-17,AMSH,11.9,,,
Richmond,WB,27-Nov-17,AMSH,14.1,,,
Richmond,WB,28-Nov-17,AMSH,11.2,,,
Richmond,WB,29-Nov-17,AMSH,17.0,,,
Richmond,WB,30-Nov-17,AMSH,13.4,,,
Richmond,WB,01-Dec-17,AMSH,14.1,,,
Adelaide,EB,02-Oct-17,AMSH,13.7,,,
Adelaide,EB,03-Oct-17,AMSH,12.4,,,
Adelaide,EB,04-Oct-17,AMSH,12.3,,,
Adelaide,EB,05-Oct-17,AMSH,8.2,,,
Adelaide,EB,06-Oct-17,AMSH,10.8,,,
Adelaide,EB,10-Oct-17,AMSH,8.8,,,
Adelaide,EB,11-Oct-17,AMSH,11.2,,,
Adelaide,EB,12-Oct-17,AMSH,12.7,,,
Adelaide,EB,13-Oct-17,AMSH,8.3,,,
Adelaide,EB,30-Oct-17,AMSH,10.6,,,
Adelaide,EB,31-Oct-17,AMSH,12.4,,,
Adelaide,EB,01-Nov-17,AMSH,8.8,,,
Adelaide,EB,02-Nov-17,AMSH,13.6,,,
Adelaide,EB,03-Nov-17,AMSH,13.2,,,
Adelaide,EB,06-Nov-17,AMSH,9.5,,,
Adelaide,EB,07-Nov-17,AMSH,13.2,,,
Adelaide,EB,08-Nov-17,AMSH,9.3,,,
Adelaide,EB,09-Nov-17,AMSH,13.6,,,
Adelaide,EB,10-Nov-17,AMSH,9.9,,,
Adelaide,EB,13-Nov-17,AMSH,14.9,,,
Adelaide,EB,14-Nov-17,AMSH,14.8,,,
Adelaide,EB,15-Nov-17,AMSH,16.2,,,
Adelaide,EB,16-Nov-17,AMSH,15.7,,,
Adelaide,EB,17-Nov-17,AMSH,13.7,,,
Adelaide,EB,20-Nov-17,AMSH,11.4,,,
Adelaide,EB,21-Nov-17,AMSH,13.8,,,
Adelaide,EB,22-Nov-17,AMSH,12.0,,,
Adelaide,EB,23-Nov-17,AMSH,11.0,,,
Adelaide,EB,24-Nov-17,AMSH,13.2,,,
Adelaide,EB,27-Nov-17,AMSH,16.8,,,
Adelaide,EB,28-Nov-17,AMSH,10.2,,,
Adelaide,EB,29-Nov-17,AMSH,10.3,,,
Adelaide,EB,30-Nov-17,AMSH,13.8,,,
Adelaide,EB,01-Dec-17,AMSH,12.0,,,
Front,WB,02-Oct-17,AMSH,9.9,,,
Front,WB,03-Oct-17,AMSH,8.6,,,
Front,WB,04-Oct-17,AMSH,12.4,,,
Front,WB,05-Oct-17,AMSH,13.8,,,
Front,WB,06-Oct-17,AMSH,9.6,,,
Front,WB,10-Oct-17,AMSH,11.3,,,
Front,WB,11-Oct-17,AMSH,12.9,,,
Front,WB,12-Oct-17,AMSH,11.5,,,
Front,WB,13-Oct-17,AMSH,12.7,,,
Front,WB,30-Oct-17,AMSH,9.6,,,
Front,WB,31-Oct-17,AMSH,8.0,,,
Front,WB,01-Nov-17,AMSH,12.5,,,
Front,WB,02-Nov-17,AMSH,9.4,,,
Front,WB,03-Nov-17,AMSH,12.1,,,
Front,WB,06-Nov-17,AMSH,13.2,,,
Front,WB,07-Nov-17,AMSH,8.1,,,
Front,WB,08-Nov-17,AMSH,8.5,,,
Front,WB,09-Nov-17,AMSH,9.1,,,
Front,WB,10-Nov-17,AMSH,11.4,,,
Front,WB,13-Nov-17,AMSH,14.3,,,
Front,WB,14-Nov-17,AMSH,14.7,,,
Front,WB,15-Nov-17,AMSH,15.2,,,
Front,WB,16-Nov-17,AMSH,11.4,,,
Front,WB,17-Nov-17,AMSH,13.7,,,
Front,WB,20-Nov-17,AMSH,12.8,,,
Front,WB,21-Nov-17,AMSH,11.1,,,
Front,WB,22-Nov-17,AMSH,14.4,,,
Front,WB,23-Nov-17,AMSH,16.2,,,
Front,WB,24-Nov-17,AMSH,13.0,,,
Front,WB,27-Nov-17,AMSH,16.5,,,
Front,WB,28-Nov-17,AMSH,11.1,,,
Front,WB,29-Nov-17,AMSH,15.7,,,
